ID_Venta,Fecha,Tienda,Ciudad,Producto,Categoría,Cantidad,Precio_Unitario
085,26/02/2023,T002,Barcelona,Falda Lunares,Faldas,2,34.99
086,26/02/2023,T003,Valencia,Camisa Manga Corta,Camisas,1,32.50
087,27/02/2023,T004,Sevilla,Blusa Lazada,Blusas,3,39.99
088,27/02/2023,T005,Bilbao,Sudadera Hoodie,Deportiva,2,47.99
089,28/02/2023,T006,Zaragoza,Vestido Wrap,Vestidos,1,59.99
090,28/02/2023,T007,Málaga,Pantalón Bermuda,Pantalones,3,32.99
091,01/03/2023,T001,Madrid,Chaqueta Kimono,Abrigos,2,75.50
092,01/03/2023,T002,Barcelona,Falda Flecos,Faldas,1,45.99
093,02/03/2023,T003,Valencia,Camisa Hawaiana,Camisas,3,39.99
094,02/03/2023,T004,Sevilla,Blusa Crochet,Blusas,2,48.50
095,03/03/2023,T005,Bilbao,Vestido Estampado,Vestidos,1,62.99
096,03/03/2023,T006,Zaragoza,Pantalón Pesquero,Pantalones,3,42.50
097,04/03/2023,T007,Málaga,Sudadera Sin Capucha,Deportiva,2,35.99
098,04/03/2023,T001,Madrid,Chaqueta Cárdigan,Abrigos,1,69.99
099,05/03/2023,T002,Barcelona,Camisa Popelín,Camisas,3,45.50
100,05/03/2023,T003,Valencia,Falda Cuadros,Faldas,2,38.99
